series_name,director_name,genre,ratings,performers,ott_platform
The Married Woman Season 1,Sahir Raza,Drama Romance,3.2,"Ridhi Dogra, Monica Dogra, Suhaas Ahuja, Imaaduddin Shah",ALTT (ALTBalaji)
Pacific Rim: The Black Season 1,"Hiroyuki Hayashi, Jae-hong Kim",Mecha,4.5,"Calum Worthy, Cole Keriazakos, Gideon Adlon, Camryn Jones, Erica Lindbeck",Netflix
Dude Season 1,Ambrish Verma,Unknown,3.531681244,"Ambrish Verma, Arun Kushwah, Apoorva Arora, Rakesh Bedi, Sidharth Bhardwaj, Shibani Bedi, Sudheer Chobessy, Vedant Chibber, Geeta Bisht, Sachin Kathuria, Monika Misra, Lokesh Mittal, Yashpal Saini, Saurabh Bansal, Neev Ahuja, Binita Budhathoki",Zee5
1962: The War in the Hills,Mahesh Manjrekar,Action,2.5,"Abhay Deol, Sumeet Vy, Ak, Mahie Gill, Hemal Ingle, Pooja Sawant, Rohan Gandotra, Vineet Sharma, Jay Parab, Satya Manjrekar, Sanjay Dadich, Prem Dharmadhikari (child), Meiyang Chang, Bijou Thaangjam, Liao Meng Chi, Pawandeep Rajan, Divyansh Mishra, Anup Soni, Karim Hajee, Rochelle Rao, Jaideep Singh Sehmbi, Diganta Hazarika, Pallavi Kulkarni, Sammaera Jaiswal, Pawandeep Rajan, Arif Zakaria, Medha Manjrekar, Shiv Subramaniam, Shivrampr, Geetika Vidya Ohlyan, Kishor Nandalskar",Disney+ Hotstar
Hello Mini Season 2,Arjun Srivastava,Suspense Thriller,3.6,"Anuja Joshi, Mrinal Dutt, Anshul Pandey, Priya Banerjee, Gaurav Chopra, Anjuman Saxena, Vineet Sharma, Darshana Banik, Abhinav Sharma, Ambika Nayak, Summer Jacobs",MX Player
Snowfall Season 4,"Kevin Bray, Karena Evans, Ugla Hauksdóttir, Greg Yaitanes, Logan Kibbens, Alonso Alvarez, Carl Seaton",Crime drama Serial drama,3.531681244,"Damson Idris, Carter Hudson, Sergio Peris-Mencheta, Michael Hyatt, Amin Joseph, Angela Lewis, Isaiah John, Alon Aboutboul, Kevin Carroll, Suzy Nakamura",Disney+ Hotstar
Dev DD Season 2,Ken Ghosh,Pop electropop hip hop dance,4.3,"Sanjay Suri, Asheema Vardaan, Aman Uppal, Nauheed Contractor, Rashmi Agdekar, Rumana Molla, Suneel Sinha, Deepika Amin, Satyajit Sharma",ALTT (ALTBalaji)
For All Mankind Season 2,"Meera Menon, Sergio Mimica Gezzan, Andrew Stanton, Allen Coulter, John Dahl, Seth Gordon, Dennie Gordon, Michael Morris",Alternate history Drama Science fiction,3.531681244,"Joel Kinnaman, Michael Dorman, Sarah Jones, Shantel VanSanten, Jodi Balfour, Wrenn Schmidt, Sonya Walger, Krys Marshall, Cynthy Wu, Casey W. Johnson, Coral Peña",Apple TV+
Girls Hostel Season 2,No description available,"Comedy, drama",3.0,"Srishti Shrivastava, Parul Gulati, Ahsaas Channa, Simran Natekar, Trupti Khamkar, Khushbu Baid, Shreya Mehta, Durin Das, Gagan Arora, Shilpa Sinha, Jayati Bhatia, Barkha Fatnani, Minal Tidake",SonyLIV
Pitta Kathalu,"Nag Ashwin, B.V. Nandini Reddy, Tharun Bhascker, Sankalp Reddy",Drama,3.531681244,"Abhay Bethiganti, Saanve Megghana, Lakshmi Manchu, Anjaiah Milkuri, Venkat Kanaka, Sai Mahesh, Shivani Mahi, Jagapathi Babu, Amala Paul, Ashwin Kakumanu, Pragathi, Vamsee Chaganti, Kireeti Damaraju, Kunak Kaushik, Sunaina, Shruti Haasan, Sanjith Hegde, Sangeeth Shobhan, Uko, Anish Kuruvilla, Thanmayi, Dayanand Reddy, Eesha Rebba, Satyadev Kancharana, Srinivas Avasarala, Ashima Narwal",Netflix
Crashh,Kushal Zaveri,Drama,2.8,"Zain Imam, Rohan Mehra, Aditi Sharma, Anushka Sen, Kunj Anand",ALTT (ALTBalaji)
The Big Day Season 1,Ashsih Sawhny,Reality television,1.5,Not decided,Netflix
The Sinner Season 3,"Adam Bernstein, Radium Cheung, Derek Simonds, Andrew McCarthy, Colin Bucksey, Rachel Goldberg",Anthology Crime drama Mystery,3.531681244,"Bill Pullman, Jessica Hecht, Matt Bomer, Parisa Fitz-Henley, Eddie Martinez, Chris Messina",Netflix
"LSD - Love, Scandal and Doctors","Sattwik Mohanty, Preya Hirji, Saqib Pandor",Mystery,3.0,"Rahul Dev, Punit Pathak, Ishaan A Khanna, Siddharth Menon, Tanaya Sachdeva, Srishti Rindhani, Ayush Shriv, Neha Hinge, Ashmita Jaggi, Pulkit Makol, Manish Pant, Surabhi Tiwari, Riva Arora, Ravi Chhabra",ALTT (ALTBalaji)
P-Valley Season 1,"Karena Evans, Kimberly Peirce, Millicent Shelton, Tamra Davis, Geeta V. Patel, Tasha Smith, Sydney Freeland, Barbara Brown",Drama,2.9,"Brandee Evans, Nicco Annan, Shannon Thornton, Elarica Johnson, Skyler Joy, J. Alphonse Nicholson, Parker Sawyers, Harriett D. Foy, Dan J. Johnson, Tyler Lepley, Morocco Omari, Dominic DeVore, Jordan M. Cox, Psalms Salazar",Lionsgate Play
The Snoopy Show Season 1,"Steve Evangelatos, Bezhad Manzoori-Dara, Ridd Sorensen",Comedy,0.6,"Terry McGurrin, Eric Bauza, Rob Tinkler, Will Friedle, Ethan Pugiotto, Tyler Nathan, Isabella Leo, Lilly Bartlam, Hattie Kragten, Wyatt White, Kingsley Marshall, Milo Toriel-McGibbon, Keegan Hedley, Holly Gorski, Isis Moore, Greg Cipes, Charlie Schlatter",Apple TV+
Firefly Lane Season 1,"Peter O'Fallon, Anne Wheeler, Vanessa Parise, Fred Gerber, Lee Rose",Drama,3.531681244,"Katherine Heigl, Ali Skovbye, London Robertson, Sarah Chalke, Roan Curtis, Ben Lawson, Beau Garrett, Yael Yurman, Ignacio Serricchio, Brandon Jay McLaren, Jon Ecker, Chelah Horsdal, Paul McGillion, Jenna Rosenow, Leo Rano, Brendan Taylor, Jason Mckinnon, Quinn Lord, Synto Misati, Kristen Robek, Andres Joseph, Patrick Sabongui",Netflix
