series_name,director_name,genre,ratings,performers,ott_platform
Taali,Ravi Jadhav,Biography Drama,3.531681244,"Sushmita Sen, Nitish Rathore, Ankur Bhatia, Aishwarya Narkar, Hemangi Kavi, Krutika Deo, Meenakshi Chugh, Shaan Kakkar",JioCinema
Commando,Vipul Amrutlal Shah,Action-thriller,3.5,"Prem Pariijaa, Adah Sharma, Shreya Chaudhary, Vaibhav Tatwawadi, Amit Sialm, Tigmanshu Dhulia, Hiren Rathod, Shabnam Vadhera, Pavneet Singh Bagga, Jassi Kapoor, Sangramsingh Thakur, Mukesh Chhabra, Shaji Chaudhary, Ishtiyak Khan, Prem, Manini Chadha",Disney+ Hotstar
The Kashmir Files: Unreported,Vivek Agnihotri,Crime,1.3,"Vivek Agnihotri, Pallavi Joshi",Zee5
Made in Heaven Season 2,"Zoya Akhtar, Nitya Mehra, Alankrita Shrivastava, Neeraj Ghaywan",Drama Romance,2.9,"Arjun Mathur, Sobhita Dhulipala, Jim Sarbh, Shashank Arora, Kalki Koechlin, Shivani Raghuvanshi",Prime Video
Painkiller,"Peter Berg, Dan Skene",Crime,3.531681244,"Uzo Aduba, Matthew Broderick, Taylor Kitsch, Dina Shihabi, West Duchovny, John Rothman, Clark Gregg, Jack Mulhern, Sam Anderson, Ana Cruz Kayne, Brian Markinson, Noah Harpster, John Ales, Johnny Sneed, Tyler Ritter",Netflix
Ladies First: A Story of Women in Hip-Hop,"Hannah Beachler, Raeshem Nijhon",Documentary,3.531681244,"Rag Digga, Latto, Coi Leray, MC Lyte, Queen Latifah, Sha Rock, Saweetie, Roxanne Shanté, Tierra Whack",Netflix
Strange Planet,"Charlie Gavin, Mike Roberts",Science fiction Comedy Anthology,3.531681244,"Tunde Adebimpe, Demi Adejuyigbe, Lori Tan Chinn, Danny Pudi, Hannah Einbinder, James Adomian, Cedric Yarbrough, Beth Stelling",Apple TV+
The Jengaburu Curse,Nila Madhab Panda,Unknown,3.9,"Faria Abdullah, Nassar, Makrand Deshpande, Sudev Nair, Deepak Sampat, Hitesh Dave, Melanie Gray, Charlie Allen, Sabrina Nabi, Mark Adams",SonyLIV
Only Murders in the Building Season 3,John Hoffman,Comedy-drama Mystery thriller,3.531681244,"Steve Martin, Martin Short, Selena Gomez, Aaron Dominguez, Amy Ryan, Cara Delevingne",Disney+ Hotstar
Zombieverse,No description available,Reality,0.8,"Lee Si-young, Ro Hong-chul, Park Na-rae, Dex, DinDin, Tsuki, Yoo Hee-kwan, Yiombi Jonathan, Yiombi Patricia, Kkwachu Hyung",Netflix
The Big Nailed It Baking Challenge,Anna Moulaison,Reality,3.531681244,"Nicole Byer, Jacques Torres",Netflix
The Hunt for Veerappan,Selvamani Selvaraj,Unknown,3.7,Not decided,Netflix
The Lost Flowers of Alice Hart,Glendyn Ivin,Drama,3.531681244,"Sigourney Weaver, Alycia Debnam-Carey, Alyla Browne, Asher Keddie, Leah Purcell, Frankie Adams, Alexander England, Charlie Vickers, Jack Latorre, Tilda Cobham-Hervey, Sebastián Zurita, Shareena Clanton",Prime Video
Heartstopper Season 2,Euros Lyn,Coming-of-age Romantic comedy Teen drama,1.6,"Joe Locke, Kit Connor, Yasmin Finney, William Gao, Cormac Hyde-Corrin, Tobie Donovan, Rhea Norwood, Sebastian Croft, Olivia Colman",Netflix
Physical Season 3,Stephanie Laing,Reality,3.5,"Rose Byrne, Zooey Deschanel, Rory Scovel, Paul Sparks, Della Saba, Lou Taylor Pucci, Dierdre Friel",Apple TV+
"Bastard!! Heavy Metal, Dark Fantasy Season 2",No description available,Dark fantasy [ 1 ] Post-apocalyptic [ 2 ] Sword and sorcery [ 3 ] [ 4 ],3.531681244,"Kishô Taniyama, Erin Yvette",Netflix
The Dragon Prince Season 5,George Samilski,Unknown,3.531681244,"Paula Burrows, Jack De Sena, Sasha Rojen, Racquel Belmonte, Jesse Inocalla, Jason Simpson, Luc Roderique, Omari Newton, Adrian Petriw, Erik Dellums, Rena Anakwe, Benjamin Callins, Peter Kelamis, Ashleica Edmond",Netflix
A Perfect Story,Chloé Wallace,Comedy,4.5,"Ingrid García Jonsson, Anna Castillo, Álvaro Mel, Ana Belén, Elena Irureta, Lourdes Hernández, Joseph Ewonde, Ane Gabarain, Sergio Pozo",Netflix
Captain Fall,No description available,Comedy,4.3,"Anthony Carrigan, Alejandro Edda, Trond Fausa, Lesley-Ann Brandt, André Eriksen, Jason Ritter, Christopher Meloni, Cedric Yarbrough",Netflix
D.P. Season 2,Han Jun-hee,Unknown,3.531681244,"Jung Hae-in, Koo Kyo-hwan, Kim Sung-kyun, Son Suk-ku, Ji Jin-hee, Kim Ji-hyun",Netflix
Good Omens Season 2,Douglas Mackinnon,Fantasy comedy,4.3,"David Tennant, Michael Sheen, Paul Adeyefa, Michael McKean, Gloria Obianyo, Miranda Richardson, Maggie Service, Reece Shearsmith, Nina Sosanya, Abigail Lawrie",Prime Video
How to Become a Cult Leader,No description available,Unknown,3.531681244,Peter Dinklage,Netflix
The Tailor Season 2,Cem Karci,Drama Mystery Thriller,4.3,"Çağatay Ulusoy, Şifanur Gül, Salih Bademci, Olgun Şimşek",Netflix
Twisted Metal,Kitao Sakurai,Comedy,3.531681244,"Anthony Mackie, Stephanie Beatriz, Neve Campbell, Samoa Joe, Will Arnett, Richard Cabral, Thomas Haden Church",SonyLIV
Kaalkoot,Sumit Saxena,Crime,3.8,"Vijay Varma, Shweta Tripathi, Yashpal Sharma, Gopal Datt, Seema Biswas",JioCinema
Half CA,Pratish Mehta,Drama Romance Inspirational fiction,3.7,"Ahsaas Channa, Gyanendra Tripathi, Anmol Kajani, Rohit Tiwari, Manu Bisht, Prit Kamani, Rohan Joshi",Amazon miniTV
Jim Gaffigan: Dark Pale,Jim Gaffigan,Unknown,0.5,Jim Gaffigan,Prime Video
Aashiqana Season 4,Gul Khan,Action Drama Thriller,3.3,"Zayn Ibad Khan, Khushi Dubey",Disney+ Hotstar
Praise Petey,"Megan Prazenica, Steven Chan, Peter Merryman",Comedy,3.531681244,"Eve Plumb, Annie Murphy, Stephen Root, John Cho, Christine Baranski, Kiersey Clemons, Amy Hill",Disney+ Hotstar
Libre de Reír,Maite Alberdi,Unknown,3.531681244,"Sofia Niño de Rivera, Daniel Sosa, Coco Cells, Leslie Peréz, Francella Vásquez, José Luis Padilla Jaqueline Polanco, Orlando González, Tiara Daniela Mendoza, Ricardo Bonilla, Gaby Galaviz, Sharon Pamela Morales",Prime Video
Do Gubbare,Varun Narvekar,Drama,4.2,"Mohan Agashe, Siddharth Shaw, Malhaar Rathod, Manasi Parekh, Hemangi Kavi",JioCinema
Sweet Magnolias Season 3,Norman Buckley,Glam rock hard rock power pop bubblegum (early),3.531681244,"Carson Rowland, Michael Shenefelt, Shanita Wilburn, Tatyana White, Benjamin M. White, Ryan Austin Bryant, Lauren Marie Gordon",Netflix
Justified: City Primeval,"Michael Dinner, Jon Avnet",Crime,3.531681244,"Timothy Olyphant, Aunjanue Ellis, Boyd Holbrook, Adelaide Clemens, Vondie Curtis Hall, Marin Ireland, Norbert Leo Butz, Victor Williams, Vivian Olyphant, Ravi Patel",Disney+ Hotstar
Surf Girls Hawai'i,No description available,Documentary,3.531681244,"Moana Jones Wong, Ewe Wong, Maluhia Kinimaka, Pua DeSoto, Brianna Cope",Prime Video
Kohrra,Randeep Jha,Unknown,3.8,"Suvinder Vicky, Barun Sobti, Varun Badola, Harleen Sethi, Rachel Shelly, Manish Chaudhary",Netflix
C.H.U.E.C.O.,"Daniel Casablanca, Kida Kawer",Unknown,4.5,"Darío Barassi, Consuelo Duval, Agustín Aristarán, Santiago Torres, Maryel Abrego, Pato Alvarado Loza, Patricio Alvarado, Guido Massri, Macarena Giráldez, Marina Bellati, Verónica Langer, David Ostrosky",Disney+ Hotstar
College Romance Season 4,"Ashutosh Chaturvedi, Pankaj Mavchi",Unknown,3.7,"Apoorva Arora, Gagan Arora, Keshav Sadhna, Shreya Mehta, Nupur Nagpal, Manjot Singh, Eklavey Kashyap, Jhanvi Rawat",SonyLIV
Foundation Season 2,No description available,Drama Science fiction,2.8,"Francis Terry, Holt McCallany, Rachel House, Mikael Persbrandt, Ben Daniels, Ella-Rae Smith, Nimrat Kaur, Isabella Laughland",Apple TV+
LOL: Last One Laughing Naija,No description available,Reality,4.5,"Basketmouth, Bukunmi Adeaga-Ilori, Onyebuchi Ojieh, Oluwatoyin Albert Tomama, Bethel Njoku, Sabinus, Okey Bakasi, Igosave, Tony Ereku, Acapella, Maryam Apaokagi",Prime Video
Maya Bazaar For Sale,Gautami Challagulla,Comedy Drama,3.3,"Navdeep, Eesha Rebba, Jhansi, Meiyang Chang, Hari Teja, Kota Srinivasa Rao, Ravi Varma, Raja Chembolu, Sunayana, Harika Koyilamma, Naresh Vijaya Krishna",Zee5
The Summer I Turned Pretty Season 2,"Isabel Sandoval, Zoe Cassavetes",Coming-of-age Romantic drama,2.8,"Lola Tung, Christopher Briney, Gavin Casalegno, Sean Kaufman, Rain Spencer, David Iacono, Elsie Fisher, Jackie Chung, Rachel Blanchard",Prime Video
The Trial,Suparn Verma,Legal drama Political drama,3.6,"Kajol, Kubbra Sait, Sheeba Chaddha, Aamir Ali, Alyy Khan, Vijay Vikram Singh, Swayam Joshi, Haelyn Shastri, Sheena Chohan",Disney+ Hotstar
Too Hot to Handle Season 5,No description available,Reality Dating game show,2.5,"Elys Hutchinson, Shedre Dre Woodard, Alex Snell, Bryce Saltmarsh, Christine Obanor, Courtney Randolph, Hunter voetsek, Linzy Luu, Louis Russell, Megan Thomson, Trey Rodgers, Yazmin Marziali, Hannah Brooke, Isaac Francis",Netflix
What We Do in the Shadows Season 5,"Yana Gorskaya, Kyle Newacheck",Comedy horror Fantasy Mockumentary,4.0,"Gavin Fox, Emily Mitchell, Emma McCoslin, Alison Deon, Bree Ali, Teq Zwarych, Chris Hong, Moracco Aurelius Latimore, Eli Katz",Disney+ Hotstar
Burn the House Down,Yûichirô Hirakawa,Unknown,2.4,"Mei Nagano, Kyôka Suzuki, Yuri Tsunematsu, Taishi Nakagawa, Michiko Kichise, Kie Kitano, Mitsuhiro Oikawa, Asuka Kudô",Netflix
Hostel Days,Aditya Mandala,Adult comedy-drama,3.8,"Darahas Maturu, Akshay Lagusani, Mouli Tanuj Prasanth, Anannyaa Akulaa, Aishwarya Holakaal, Jaiyetri Makana",Prime Video
Survival of the Thickest,"Linda Mendoza, Kim O. Nguyen",Unknown,3.531681244,"Michelle Buteau, Tone Bell, Christine Horn, Tasha Smith, Garcelle Beauvais, Anissa Felix, Peppermint, Taylor Selé, Marouane Zotti",Netflix
The Magic of Shiri,Birsa Dasgupta,Drama,1.1,"Divyanka Tripathi, Namit Das, Jaaved Jaaferi, Neelu Kohli, Parmeet Sethi, Darshan Zareewala",JioCinema
Sugar Rush: The Baking Point,No description available,Reality,3.531681244,"Ludwika Paleta, Carlos 'Capi' Perez, Gris Verduzco, Luis Robledo Richards",Netflix
Adhura,"Gauravv Chawla, Ananya Banerjee",Crime Thriller,3.8,"Ishwak Singh, Rasika Dugal, Shrenik Arora, Rahul Dev, Poojan Chhabra, Medha Agrawal, Zoa Morani, Priya Banerjee, K.C. Shankar, Mridul Ahluwalia, Samridhi Chandola, Preet Bharadia, Chinmay Chandraunshuh, Sahil Chhabra, Arjun Deswal",Prime Video
Fatal Seduction,No description available,Unknown,2.8,"Kgomotso Christopher, Prince Grootboom, Frances Sholto-Douglas, Ngelekanyo Ramulondi, Rizelle Januk, Thapelo Mokoena, Tazzy Smith, Nathaniel Ramabulana",Netflix
Hack My Home,No description available,Reality,4.0,"Jessica L. Banks, Ati Williams, Mikel Wetch, Brooks Atwood",Netflix
The Horror of Dolores Roach,"Hiromi Kamata, Eduardo Sánchez, America Young, Roxann Dawson, Edward Ornelas",Drama,0.5,"Justina Machado, Alejandro Hernandez, Kita Updike, K. Todd Freeman, Judy Reyes, Marc Maron, Jean Yoon, Jeffery Self",Prime Video
Sweet Kaaram Coffee,"Bejoy Nambiar, Krishna Marimuthu, Swathi Raghuraaman",Drama Comedy,3.9,"Lakshmi, Madhoo, Santhy Balachandran, Bala Suresh, Kavin Jay Babu, Dev, Vamsi Krishna, Samyuktha Viswanathan, Alexx O'Nell",Prime Video
The Lincoln Lawyer Season 2,Rob Seidenglanz,Legal drama,3.5,"Manuel Garcia-Rulfo, Neve Campbell, Becki Newton, Angus Sampson, Jazz Raycole, Christopher Gorham, Ntare Guma Mbaho Mwine, Jamie McShane, Krista Warner, Matt Angel",Netflix
Back to 15 Season 2,No description available,Science fiction Horror Mystery Drama,3.531681244,"Maisa Silva, Joao Guilherme, Klara Castanho, Irving Green, Camila Queiroz, Lucca Picon, Mariana Rios, Nila, Bruno Montaleone",Netflix
Kizazi Moto: Generation Fire,"Shofela Coker, Raymond Malinga, Ahmed Teilab",Anthology [ 1 ] Sci-fi [ 2 ] [ 3 ] Fantasy [ 2 ],3.531681244,"Amir Hedayah, Mo Ismail, Florence Kasumba, Hakeem Kae-Kazim, Pearl Thusi, Kehinde Bankole, Tumi Morake, Sheila Munyiva, Lillian Dube",Disney+ Hotstar
Shadow Detective Season 2,Han Dong Hwa,Crime thriller,4.5,"Lee Sung Min, Kyung Soo Jin, Jung Jin Young, Lee Hak Joo, Kim Shin Rok, Joo Jin Mo, Go Gyu Pil, Jung Hae Kyun, Hyun Bong Sik, Kim Jae Bum",Disney+ Hotstar
The King Who Never Was,Beatrice Borromeo,Unknown,3.5,"Vittorio Emanuele di Savoia, Emanuele Filiberto di Savoia",Netflix
Tom Segura: Sledgehammer,Ryan Polito,Comedy,3.531681244,Tom Segura,Netflix
Ishq Next Door,No description available,Romance Drama,4.0,"Natasha Bharadwaj, Purav Jha, Mrinal Dutt, Abhay Mahajan",JioCinema
Celebrity,Kim Cheol-kyu,Drama,3.531681244,"Park Gyu-young, Kang Min-hyuk, Lee Chung-ah, Lee Dong-gun, Jun Hyo-seong",Netflix
"Is It Cake, Too?",No description available,Game show,3.531681244,"Mikey Day, Corterrius Allen, Danya Smith, Elizabeth Rowe, Jarid Altmark, Justin Salinas, Kayla Giddings, Liz Marek, Miko Kaw Hok Uy, Pete Tidwell, Spirit Wallace",Netflix
Jack Ryan Season 4,No description available,Action Drama Political thriller Spy thriller,4.0,"John Krasinski, Wendell Pierce, Michael Kelly, Betty Gabriel, Abbie Cornish, Michael Peña, Louis Ozawa",Prime Video
Sandeep Bhaiya,Parijat Joshi,Drama,4.1,"Abhinav Anand, Deepali Gautam, Rajendra Gupta, Sunny Hinduja, Punit Tiwari",YouTube
Charlie Chopra & The Mystery Of Solang Valley,Vishal Bhardwaj,Mystery,4.0,"Wamiqa Gabbi, Priyanshu Painyuli, Naseerudin Shah, Lara Dutta, Neena Gupta, Ratna Pathak Shah, Gulshan Grover, Paoli Dam, Chandan Roy Sanyal, Imaaduddin Shah, Vivaan Shah",SonyLIV
See You in My 19th Life,Lee Na-jung,Fantasy [ 1 ] Romance [ 1 ],3.531681244,"Shin Hye-sun, Ahn Bo-hyun, Ha Yoon-kyung, Ahn Dong-goo, Si-ah Kim, Lee Chae-Min, Choi Jin-ho, Gi So Yoo, Lee Hae-Young, So-yi Park, Kim Yi-Kyeong, Moon Dong-Hyeok",Netflix
The Night Manager Season 2,No description available,Action Drama Espionage Spy thriller,3.8,"Anil Kapoor, Aditya Roy Kapur, Sobhita Dhulipala",Disney+ Hotstar
The Witcher Season 3,"Stephen Surjik, Gandja Monteiro, Loni Peristere, Bola Ogun",Action adventure Fantasy drama,2.6,"Henry Cavill, Freya Allan, Anya Chalotra, Eamon Farren, Joey Batey, MyAnna Buring, Royce Pierreson, Mimi Ndiweni, Mimî M. Khayisa, Wilson Mbomio, Anna Shaffer, Mahesh Jadu, Tom Canton, Mecia Simson, Kim Bodnia",Netflix
Ōoku: The Inner Chambers,Noriyuki Abe,Drama,3.531681244,"Yûki Kaji, Mamoru Miyano, Jun Fukuyama, Tomokazu Seki, Kikuko Inoue, Sanae Kobayashi, Miyuki Satô, Hitoshi Kubota, Eriko Matsui",Netflix
Delete,Parkpoom Wongpoom,Unknown,4.0,"Chutimon Chuengcharoensukying, Nat Kitcharit, Duangjai Hiransri, Pattarasuda Anumanrajadhon, Sarika Sartsilpsupa, Nattarat Nopparattayaporn, Sompob Benjathikul",Netflix
Hijack,Jim Field Smith,Thriller,3.531681244,"Idris Elba, Archie Panjabi, christine Adams, Max Beesley, Eve Myles, Neil Maskell, Jasper Britton, Harry Mitchell, Aimée Kelly",Apple TV+
Muscles & Mayhem: An Unauthorized Story of American Gladiators,"Jared Hess, Tony Vainuku",Documentary,4.8,"Michael Horton, Lori Fetrick, Raye Hollitt, Danny Lee Clark, Jim Starr, Erika Andersch, Steve Henneberry, Shirley Eson, Sha-Ri Pendleton",Netflix
Carpool Karaoke: The Series Season 5,No description available,Reality,3.531681244,"Zooey Deschanel, Jonathan Silver Scott, Sydney Sweeney, Alexandra Daddario, Jodi Balfour, Shantel VanSanten, Simu Liu, Kevin Bacon, Joel Kinnaman",Apple TV+
Catching Killers Season 3,No description available,Docu-series,3.531681244,Not decided,Netflix
I’m A Virgo,Boots Riley,Comedy,3.531681244,"Jharrel Jerome, Mike Epps, Carmen Ejogo, Walton Goggins, Brett Gray, Kara Young, Allius Barnes, Olivia Washington",Prime Video
Kafas,Sahil Sangha,Crime,3.3,"Mona Singh, Sharman Joshi, Preeti Jhangiani, Vivan Bhatena, Zarina Wahab, Mona Vasu, Mukesh Chhabra, Mikhail Gandhi, Tejaswi Ahlawat, Jyoti Gauba, Geetanjali Mishra, Araham Sawant, Ethan Manjani",SonyLIV
Kerala Crime Files,Ahammed Khabeer,Crime,5.0,"Devaki Rajendran, Aswathy Manoharan, Eika Dev, Harishankar, S.K. Mini, Aji Alok, Nidhinya Anil, Lal, Aju Varghese",Disney+ Hotstar
Swagger Season 2,"Reggie Rock Bythewood, Matthew A. Cherry, Katina Medina Mora",Unknown,0.5,"Monique Grant, RJ Thomas, Catherine Owens, Marliss Amiea, Deion Smith, Tim Perez-Ross, Jordan Kennedy, Malik J Ali, Sarah Grace Drake",Apple TV+
Glamorous,Todd Strauss-Schulson,Drama,1.9,"Kim Cattrall, Miss Benny, Graham Parkhurst, Damian Terriquez, Matt Rogers, Ricardo Chavira, Joel Kim Booster, Brock Ciarlelli, Meher Pavri",Netflix
Skull Island,Brian Duffield,Action,3.5,Not decided,Netflix
Social Currency,Sagar More,Reality,2.0,"Roshni Rai, Mridul Madhok, Sakshi Sagar Chopra, Vagmita Singh, Ruhi Dilip Singh, Aakash Mehta, Bhavin Ashwin Bhanushali, Parth Laghate",Netflix
The Bear Season 2,"Christopher Storer, Joanna Calo, Ramy Youssef,",Comedy-drama Psychological drama,4.0,"Jeremy Allen White, Ayo Edebiri, Ebon Moss-Bachrach, Lionel Boyce, Liza Colón-Zayas, Edwin Lee Gibson, Corey Hendrix, José Cervantes,  Richard Esteras, Abby Elliot,  Molly Gordon,  Bob Odenkirk, Olivia Colman Will Poulter",Disney+ Hotstar
Pret Boys,Nisheeth N Neelkanth,Comedy,3.8,"Shardul Pandit, Aanchal Munjal, Ritik Ghanshani, Ahan Nirban",Amazon miniTV
Secret Invasion,"Thomas Bezucha, Ali Selim",Action,3.1,"Samuel L. Jackson, Ben Mendelsohn, Kingsley Ben-Adir, Olivia Colman, Emilia Clarke, Cobie Smulders, Killian Scott, Christopher McDonalad, Carmen Ejogo",Disney+ Hotstar
Highway Love,Sahir Raza,Comedy,3.531681244,"Ritvik Sahore, Gayatri Bhardwaj, Anshuman Malhotra",Amazon miniTV
Jalas o Te Rajas,No description available,Reality,3.531681244,"El Escorpión Dorado, Facundo",Prime Video
Outlander Season 7,Lisa Clarke,Historical fantasy Drama Adventure Romantic fantasy,3.531681244,"Caitríona Balfe, Sam Heughan, Sophie Skelton, Richard Rankin, Duncan Lacroix, Graham McTavish, John Bell, César Domboy, Lauren Lyle, Tobias Menzies",Netflix
The Grand Tour Season 5,No description available,Unknown,4.7,"Mike Skinner, Abbie Eaton",Prime Video
Black Mirror Season 6,"Toby Haynes, Anne Sewitsky, Uta Briesewitz, John Crowley, Sam Miller, Ally Pankiw,",Anthology Speculative fiction Science fiction Dystopia,1.8,"Monica Dolan, Aaron Paul, Anjana Vasan, Kate Mara, Josh Hartnett, Ben Barnes, Salma Hayek, Zazie Beetz, Rory Culkin, Annie Murphy, Michael Cera, John Hannah, Rob Delaney, Himesh Patel",Netflix
Jee Karda,Arunima Sharma,Comedy,2.7,"Tamannaah, Suhail Nayyar, Aashim Gulati, Anya Singh, Hussain Dalal, Samvedna Suwalka, Sayan Banerjee",Prime Video
Rafuchakkar,Ritam Srivastava,Drama,3.9,"Maniesh Paul, Priya Bapat, Sushant Singh, Aksha Pardasany, Aakash Dahiya, Pushkar Priyadarshi, Siddharth Joukani, Abudhar Al Hassan, Bhawsheel Sahni, Chahat Vig, Lekha Prajapati",JioCinema
Shaitan,Mahi v Raghav,Drama,3.4,"Jaffer Sadiq, Manikandan K., Lena, Aneesha Dama, Deviyani Sharma, Deviyani Sharma, Shelly Kishore, Nithin Prasanna, Manish Rishi, Ravi Kale, Kamakshi Bhaskarla",Disney+ Hotstar
Our Planet II,No description available,Documentary,4.0,David Attenborough,Netflix
The Surrogacy,"Walter Doehner, Jorge Rios Villanueva",Drama,3.531681244,"Shani Lozano, Marcela Guirado, Leticia Calderón, Minnie West, Emmanuel Orenday, Luis Ernesto Franco, Alejandro de la Madrid, Camila Selser, Manuel Balb, Fernanda Borches, Cecilia Toussaint, Omar Germenos",Netflix
Amy Schumer: Emergency Contact,Amy Schumer,Comedy,3.531681244,Amy Schumer,Netflix
Lupin Season 2,"Ludovic Bernard, Hugo Gélin",Crime drama Thriller Mystery,4.0,"Omar Sy, Ludivine Sagnier, Clotilde Hesme, Nicole Garcia, Hervé Pierre, Antoine Gouy, Soufiane Guerrab, Vincent Londez, Shirine Boutella, Nicolas Wanczycki, Stefan Crepon",Netflix
Badtameez Dil,Prashant Bhagia,Drama,3.5,"Riddhi Dogra, Barun Sobti, Minissha Lamba",Amazon miniTV
Bloodhounds,Joo-hwan Kim,Action,3.1,"Woo Do-Hwan, Si Won Choi, Park Sung-woong, Soo-young Ryu, Sang-yi Lee, Choi Young-joon, Joon-ho Huh, Jung Da-Eun, Hae-yeong Lee",Netflix
Human Resources Season 2,No description available,Animated sitcom Blue comedy Workplace comedy Musical,5.0,"Nick Kroll, Maya Rudolph, Aidy Bryant, Randall Park, Keke Palmer, Brandon Kyle Goodman, David Thewlis",Netflix
Sarvam Shakthi Mayam,Pradeep Maddali,Drama,3.0,"Priya Mani, Sanjay Suri, Samir Soni, Ashlesha Thakur, Subbaraju, Abhay Simha Reddy",Zee5
Tex Mex Motors,No description available,Reality,3.9,"Wesley Zachary, Jaime Hjelm",Netflix
The Crowded Room,Kornél Mundruczó,Drama,4.0,"Tom Holland, Zachary Golinger, Amanda Seyfried, Emmy Rossum, Will Chase, Sasha Lane, Christopher Abbott, Emma Laird, Jason Isaacs, Lior Raz, Thomas Sadoski, Sam Vartholomeos, Levon Hawke, Laila Robins, Henry Eikenberry, Henry Zaga",Apple TV+
The Lake Season 2,"Paul Fox, Jordan Canning, Melanie Orr, R.T. Thorne",Comedy,1.0,"Jordan Gavaris, Julia Stiles, Madison Shamoun, Lauren Holly, Terry Chen, Jon Dore, Carolyn Scott, Natalie Lisinka, Travis Nelson, Declan Whaley, Jhaleil Swaby, Max Amani",Prime Video
The Playing Card Killer,Amanda Sans Pantling,Crime,3.531681244,Not decided,Netflix
The Snoopy Show Season 3,No description available,Unknown,0.5,Not decided,Apple TV+
The World Can't Tear Me Down,Zerocalcare,Comedy,3.531681244,"Michele Rech, Valerio Mastandrea, Adam Rhys Dee, Ambrogio Colombo, Chiara Gioncardi, Michele Foschini, Paolo Vivio, Veronica Puccio, Alessandra Sani, Ezio Conenna",Netflix
Never Have I Ever Season 4,No description available,Comedy drama Coming-of-age Teen drama,1.5,"Maitreyi Ramakrishnan, Darren Barnet, Michael Cimino, Ramona Young, Lee Rodriguez, Megan Suri, Poorna Jagannathan, Richa Moorjani, Utkarsh Ambudkar, Niecy Nash",Netflix
Tour De France: Unchained,No description available,Documentary,3.531681244,Gerard Camy,Netflix
UP65,Gaganjeet Singh,Drama,3.6,Shine Pandey,JioCinema
Ananth Anaadih Vadnagar,No description available,Unknown,3.5,"Manoj Muntashir Shukla, Vaibhav Mutha",Amazon Prime Video
Arnold,Lesley Chilcott,Documentary,4.3,"Arnold Schwarzenegger, James Cameron, Danny DeVito, Jamie Lee Curtis, Sylvester Stallone",Netflix
My Little Pony: Make Your Mark,No description available,Comedy,3.531681244,"Jenna Warren, JJ Gerber, Ana Sani, AJ Bridel, Maitreyi Ramakrishnan, Rob Tinkler, Athena Karkanis",Netflix
Barracuda Queens,Amanda Adolfsson,Drama,3.531681244,"Eddie Nathan Eriksson, Tuva Beckman, Karin Hanser, Jonathan Sand, Izabella Scorupco, Carsten Bjørnlund, Johannes Kuhnke, Mirja Turestedt, Alva Bratt, Meliz Karlge, Michaela Thorsén, Max Ulveson, Sarah Gustafsson",Netflix
Deadloch,"Ben Chessell, Beck Cole, Gracie Otto",Comedy,0.5,"Kate Box, Madeleine Sami, Alicia Gardiner, Nina Oyama, Holly Austin, Tom Ballard, Astrid Wells, Duncan Fellows, Kris McQuade, Shaun Martindale, Kartanya Maynard, Mia Morrissey, Naarah",Prime Video
School of Lies,Avinash Arun Bhaware,Drama,3.6,"Varin Roopani, Vir Pachisia, Aryan Singh Ahlawat, Nimrat Kaur, Aamir Bashir, Geetika Vidya Ohlyan, Hemant Kher, Nitin Goel, Shakti Anand, Aalekh Kapoor",Disney+ Hotstar
Scoop,Hansal Mehta,Drama,4.2,"Karishma Tanna, Mohammad Zeeshan Ayyub, Harman Baweja, Deven Bhojani, Tannishtha Chatterjee, Tejasvini Kolhapure, Shikha Talsania, Tanmay Dhanania, Prosenjit Chatterjee, Inayat Sood, Swaroopa Ghosh, Malhar Thakar, Shikha Talsania, Ira Dubey, Ishita Arun, Sanat Vyas",Netflix
Shiny Happy People: Duggar Family Secrets,"Julia Willoughby Nason, Olivia Crist",Documentary,3.531681244,"Derick Dillard, Jill Duggar Dillard, Brooke Arnold, Kristin Kobes Du Mez, Deanna Duggar, Jim Bob Duggar, Michelle Duggar, Bobye Holt, Jim Holt, Amy King, Dillon King, Danielle Lindemann, Josh Pease, Jen Sutphin, Joshua Duggar, Alex Harris",Prime Video
Valeria Season 3,No description available,Comedy drama Romantic comedy Sex comedy [ 1 ],4.2,"Diana Gómez, Silma López, Paula Malia, Teresa Riott, Maxi Iglesias",Netflix
With Love Season 2,No description available,Drama,3.531681244,"Emeraude Toubia, Mark Indelicato, Isis King, Vincent Rodriguez III, Rome Flynn, Desmond Chiam, Benito Martinez, Constance Marie, Todd Grinnell",Prime Video
Asur Season 2,No description available,Crime Psychological thriller [ 1 ],3.8,"Arshad Warsi, Barun Sobti, Anupriya Goenka, Riddhi Dogra",JioCinema
I Think You Should Leave with Tim Robinson Season 3,"Alice Mathias, Andrew Fitzgerald, Fatal Farm, Akiva Schaffer",Unknown,3.531681244,Tim Robinson,Netflix
The Kardashians Season 3,No description available,Unknown,4.8,"Kim Kardashian, Kourtney Kardashian, Khloé Kardashian, Kylie Jenner, Kendall Jenner, Kris Jenner, Travis Barker, Scott Disick.",Disney+ Hotstar
Barbecue Showdown Season 2,No description available,Reality show,3.531681244,"Michelle Buteau, Melissa Cookston, Kevin Bludso",Netflix
